"Disease","Adjusted_P_Value","Associated_Genes"
"Carcinoma breast stage IV",0.00321397501950497,"FCGR3A;CAVIN2;MMP2;KDR;SPP1;SCGB2A2;TLR4;DCN;MT1E"
"Lung diseases",0.00325083618108705,"GREM1;IRX1;IL33;MMP7;LUM;MMP2;ADIPOQ;SPP1;TLR4"
"Colorectal Carcinoma",0.00342556337015986,"ADH1B;TNC;ETS1;CDH5;FCGR3A;IGKC;RGS1;MRC1;KDR;SPP1;TLE4;IL33;POSTN;CD163;MMP7;LUM;ZBTB16;MMP2;ADIPOQ;LYVE1;DCN;DKK3;GREM1;SFRP1;ARMCX1;ZEB2;SFRP2;DPYD;TLR4"
"Inflammatory Bowel Diseases",0.00351944855374459,"IL33;CD163;MMP7;MMP2;LPL;DEFB1;ETS1;SFRP1;FCGR3A;SFRP2;MRC1;SPP1;ACKR1;TLR4"
"Crohn Disease",0.00353309341696078,"IL33;CD163;MMP2;ADIPOQ;TNC;F13A1;LPL;DEFB1;ETS1;FCGR3A;SFRP2;KDR;SPP1;TLR4"
"Adult Cholangiocarcinoma",0.00353728079435801,"SFRP1;MMP2;TNC;SPP1"
"Malignant neoplasm of mouth",0.00353728079435801,"ZEB2;MMP7;ADH1B;MMP2;MRC1;TNC;SPP1;KRT5;ETS1;DCN"
"M5b Acute differentiated monocytic leukemia",0.00358978237346002,"CD163;MMP2;SPP1;LPL;ETS1"
"Biliary Atresia",0.00358978237346002,"IL33;FCGR3A;MMP7;MMP2;SPP1"
"Sarcoidosis",0.00358978237346002,"CD163;IGKC;MRC1;TNC;KDR;SPP1;TLR4"
"Periodontitis",0.00365032597902296,"POSTN;FCGR3A;MMP2;TNC;DEFB1;TLR4;JCHAIN"
"Sentinel node (disorder)",0.00365032597902296,"EPB41L3;KDR;KRT5;LYVE1"
"Endometrial Neoplasms",0.00370049732585095,"MMP7;MMP2;ADIPOQ;SPP1;ETS1;TLR4;DCN"
"Dermatitis, Allergic Contact",0.00380821870162946,"FYB1;RGS1;MRC1;SPP1;F13A1"
"Allergic disposition",0.00384088638937311,"IL33;TNC;KLK5;SPP1;ADAM33;LALBA;TLR4"
"Fibrosis",0.00385667898895014,"GREM1;COL1A2;MMP7;SPP1;TLR4;DCN"
"Meningioma, benign, no ICD-O subtype",0.00388581852409775,"SFRP1;CD163;MMP2;EPB41L3;TNC;SPP1;TLR4"
"Kaposi Sarcoma",0.00399329409359985,"FCGR3A;MMP7;MMP2;KDR;F13A1;ETS1;TLR4;LYVE1"
"Barrett Esophagus",0.00399329409359985,"SFRP1;SFRP2;MMP7;KRT14;TNC;S1PR1;DEFB1;KRT5"
"Liver diseases",0.00405498258997039,"TYROBP;COL1A2;ADH1B;LUM;MMP2;ADIPOQ;DPYD;KDR;SPP1;CYP7B1;TLR4"
"Obesity",0.00408783053532051,"CD163;ADH1B;CAVIN2;ZBTB16;MMP2;ADIPOQ;TNC;ADAM33;DPT;LPL;G0S2;DEFB1;DCN;MFAP5;SFRP1;FCGR3A;FABP4;DPYD;SPP1;MMP19;ACKR1;TLR4"
"Chronic thromboembolic pulmonary hypertension",0.00408783053532051,"CDH5;FCGR3A;KDR"
"Osteopenia",0.00434725980969211,"IL33;TYROBP;COL1A2;MMP2;SPP1;PTN;QRFPR;MPEG1"
"Cholestasis, Extrahepatic",0.00434725980969211,"MMP2;DEFB1;PTN;TLR4"
"Glomerulosclerosis (disorder)",0.00434725980969211,"MMP2;TNC;KDR;SPP1;IGHA1"
"Synovitis",0.00434725980969211,"SFRP1;CD163;CDH11;TNC;SPP1"
"Multiple Myeloma",0.00447374448402186,"MMP7;MMP2;PTN;DCN;JCHAIN;SFRP1;FCGR3A;SFRP2;LBH;MRC1;KDR;SPP1;S1PR1;IGHA1;TLR4;CD200;IGKV3-20"
"Gingival Diseases",0.0046302689101052,"FCGR3A;MMP2;TNC;DEFB1;TLR4"
"Neuroectodermal Tumor, Primitive",0.0046302689101052,"SFRP1;COL1A2;MRC1;KDR;FLI1"
"Carotid Artery Plaque",0.00491996273314496,"ADIPOQ;LPL;TLR4"
"Neonatal onset",0.00491996273314496,"KRT14;KRT5;CYP7B1"
"Cirrhosis",0.00541763381632458,"COL1A2;MMP7;ADH1B;CAVIN2;CSN3;TLR4;LYVE1;DCN;DKK3"
"Localized scleroderma",0.00544683638162408,"COL1A2;DCN;FLI1"
"Meningococcal Infections",0.0058614960555234,"C7;DEFB1;IGHA1;TLR4"
"Cervical Adenocarcinoma",0.0058614960555234,"SFRP1;SFRP2;CSN2;DKK3"
"C1q DEFICIENCY",0.00602725396414315,"C1QB;C1QC"
"Muscular Dystrophy, Duchenne",0.00631691262484764,"POSTN;MMP7;MMP2;SPP1;TLR4;DCN"
"Uterine Cervical Neoplasm",0.00643730497341549,"MMP7;LUM;MMP2;TNC;ETS1"
"Adenocarcinoma of pancreas",0.00643730497341549,"IL33;MMP7;LUM;MRC1;KDR;SPP1;ETS1;TLR4"
"Neoplasms",0.00643730497341549,"IL33;POSTN;MMP7;CD93;TNC;PTN;FLI1;DKK3;FCGR3A;ZEB2;MRC1;KDR;SPP1;TLR4;CD200;MT1E"
"Collagen Diseases",0.00643730497341549,"FCGR3A;COL1A2;TNC"
"Eclampsia",0.00684975549580378,"MMP7;MMP2;ADIPOQ;KDR;LPL;TLR4"
"Interstitial lung fibrosis",0.00699893822799421,"FCGR3A;MMP7;TNC;SPP1;DCN"
"Cholangiocarcinoma",0.00722629730838388,"MFAP5;IL33;SFRP1;FCGR3A;MMP7;MMP2;TNC;KDR;SPP1"
"tumor vasculature",0.00738894981861371,"MMP2;MRC1;CDH11;KDR;PTN"
"early pregnancy",0.00738894981861371,"IL33;FCGR3A;MMP7;KDR;TLR4"
"Marfan Syndrome",0.00750838284865019,"MFAP5;COL1A2;MMP2;DCN"
"Adenocarcinoma in Situ",0.00750838284865019,"SFRP2;DPYD;DKK3"
"Childhood Ataxia with Central Nervous System Hypomyelinization",0.00750838284865019,"DPYD;SPP1;DEFB1"
"Skin Vesicle",0.00762503935627904,"KRT14;KRT5"
"Lymphangiectasis",0.00762503935627904,"KDR;LYVE1"
"Ehlers-Danlos syndrome type 1",0.00762503935627904,"COL1A2;LUM"
"Elliptocytosis 4",0.00762503935627904,"SPP1;TLR4"
"Chronic Obstructive Airway Disease",0.00762681602071894,"IL33;CD163;MMP2;ADIPOQ;MRC1;KDR;SPP1;ADAM33;DEFB1;KRT5;TLR4"
"Nasopharyngeal carcinoma",0.00775844179546963,"POSTN;SFRP1;CD163;MMP7;MMP2;KRT14;SPP1;SCGB3A1;HBB;MMP19;ETS1;TLR4"
"Diabetes",0.0077967443805995,"CD163;ADH1B;MMP2;ADIPOQ;DPT;LPL;DEFB1;CSN2;ETS1;DCN;GREM1;FABP4;KDR;SPP1;TLR4;MT1E"
"Renal fibrosis",0.0077967443805995,"SFRP1;MMP7;MMP2;TNC;TLR4;DCN"
"Small cell carcinoma of lung",0.00781604671041831,"IL33;SFRP1;ZEB2;MMP2;EPB41L3;MRC1;KDR;SPP1;LPL;SCGB3A1;PTN"
"Hallopeau-Siemens Disease",0.00781604671041831,"MMP7;MMP2;DCN"
"Colorectal Cancer",0.00781711892994341,"ADH1B;TNC;PTN;NID1;ETS1;CDH5;FCGR3A;IGKC;MRC1;KDR;SPP1;TLE4;IL33;POSTN;CD163;MMP7;CD93;LUM;ZBTB16;MMP2;ADIPOQ;LYVE1;DCN;DKK3;GREM1;SFRP1;ZEB2;SFRP2;DPYD;TLR4"
"PACHYONYCHIA CONGENITA 3",0.00781711892994341,"MMP2;KDR;SPP1;DPT;G0S2"
"Anaplasia",0.00781711892994341,"CNN1;TNC;SPP1;MMP19;ETS1;DCN;DKK3"
"Colon Carcinoma",0.00781856528811102,"IL33;MMP7;LUM;MMP2;ADIPOQ;TNC;PTN;NID1;ETS1;FLI1;DCN;DKK3;GREM1;SFRP1;FCGR3A;ZEB2;MRC1;CDH11;DPYD;KDR;SPP1;TLR4"
"Prostate carcinoma",0.00781856528811102,"TNC;KLK5;F13A1;DPT;LPL;DEFB1;PTN;NID1;ETS1;SLCO2B1;EPB41L3;MRC1;KDR;SPP1;MMP7;ZBTB16;MMP2;ADIPOQ;CYP7B1;LYVE1;FLI1;DCN;DKK3;SFRP1;ZEB2;SFRP2;FABP4;CDH11;TLR4"
"Steatohepatitis",0.00781856528811102,"FABP4;LUM;ADIPOQ;DPYD;SPP1;LPL;G0S2;CYP7B1;TLR4;DCN"
"Neuropathy",0.00781856528811102,"FCGR3A;ADH1B;MMP2;ADIPOQ;ACKR1;CYP7B1;TLR4"
"Granulomatosis with polyangiitis",0.00785218600036,"FCGR3A;MMP2;DEFB1;TLR4"
"Varicosity",0.00785218600036,"TNC;KDR;SPP1;DPT"
"Autoimmune thrombocytopenia",0.00785218600036,"IL33;FCGR3A;MRC1;TLR4"
"CREST Syndrome",0.00808753618021179,"C1QB;MRC1;C1QC"
"Noninfiltrating Intraductal Carcinoma",0.00808753618021179,"SFRP1;ADIPOQ;CDH11;KRT14;TNC;SCGB3A1;KRT5"
"Niemann-Pick Disease, Type C",0.00808753618021179,"POSTN;SFRP1;CD163;KDR"
"High-Grade Prostatic Intraepithelial Neoplasia",0.00808753618021179,"SFRP2;SPP1;CYP7B1;DCN"
"Secondary malignant neoplasm of lung",0.0081648826770578,"IRX1;SFRP1;ZEB2;MMP7;LUM;MMP2;TNC;KDR;SPP1;TLR4;DCN"
"Periodontal Diseases",0.008287133443219,"FCGR3A;MMP2;TNC;DEFB1;TLR4"
"Idiopathic Pulmonary Fibrosis",0.008287133443219,"IL33;CD163;MMP7;CDH11;TNC;SPP1;MMP19;DCN"
"Acute monocytic leukemia",0.008287133443219,"CD163;MMP2;SPP1;ETS1"
"Cerebral arterial aneurysm",0.008287133443219,"COL1A2;MMP2;ETS1;TLR4"
"Ureteral obstruction",0.00845085366356047,"SFRP1;TYROBP;MMP7;KDR;TLR4"
"Age related macular degeneration",0.00862446407132714,"IL33;FCGR3A;MMP7;MMP2;TNC;KDR;LPL;TLR4"
"Epidermolysis Bullosa Simplex Kobner",0.00865991357587723,"KRT14;KRT5"
"Reticular pigmentation pattern",0.00865991357587723,"KRT14;KRT5"
"Reticulated skin pigmentation",0.00865991357587723,"KRT14;KRT5"
"Primary malignant neoplasm of lung",0.00865991357587723,"SEMA5A;IL33;POSTN;MMP7;LUM;ZBTB16;MMP2;ADIPOQ;TNC;F13A1;G0S2;KRT5;PTN;ETS1;SFRP1;ZEB2;EPB41L3;MRC1;KDR;SPP1;SCGB3A1;MMP19;TLR4"
"Congenital contractural arachnodactyly",0.00873182231167912,"IL33;CD163;FCGR3A;COL1A2;DPYD;SPP1"
"Desmoplastic",0.00877945320410135,"POSTN;SFRP1;COL1A2;MMP2"
"Invasive carcinoma of breast",0.00878102702063127,"CDH5;SFRP1;MMP2;CDH11;TNC;KDR;ETS1;TLR4"
"Lung Neoplasms",0.00914951848676702,"MMP7;MMP2;ADIPOQ;TNC;LPL;PTN;DKK3;SFRP1;EPB41L3;DPYD;SPP1;SCGB3A1;SCGB2A2;MMP19;TLR4"
"Vascular inflammations",0.00917047839184475,"RGS1;MMP2;S1PR1;ETS1;TLR4"
"Medulloblastoma",0.00917047839184475,"SFRP1;CD163;SFRP2;COL1A2;FABP4;MMP2;TNC;KDR;FLI1;DKK3"
"Epithelioma",0.00920376416315724,"POSTN;MMP7;MMP2;DPYD;KRT14;KDR;SPP1"
"Adenocarcinoma of prostate",0.00932116648666093,"MMP7;TNC;KDR;DPT;CYP7B1;TLR4"
"Malignant neoplasm of lung",0.0100353379483783,"SEMA5A;IL33;POSTN;MMP7;LUM;ZBTB16;MMP2;ADIPOQ;TNC;F13A1;G0S2;KRT5;PTN;ETS1;SFRP1;ZEB2;EPB41L3;MRC1;DPYD;KDR;SPP1;SCGB3A1;MMP19;TLR4"
"Liver neoplasms",0.0100353379483783,"MMP7;ADH1B;MMP2;LPL;HBB;KRT5;LYVE1;DKK3;SFRP1;ZEB2;SFRP2;MRC1;DPYD;KDR;SPP1;TLR4"
"Hereditary pyropoikilocytosis",0.0100353379483783,"SFRP1;COL1A2;SCGB3A1"
"Pelvic Organ Prolapse",0.0100353379483783,"LUM;MMP2;DCN"
"Chronic sinusitis",0.0100353379483783,"IL33;POSTN;MMP2;SPP1"
"Medullary carcinoma of breast",0.010353437830491,"SCGB3A1;KRT5"
"Protrusio acetabuli",0.010353437830491,"COL1A2;MMP2"
"Increased tendency to bruise",0.010353437830491,"COL1A2;KRT14;F13A1;KRT5"
"Carcinoma, Transitional Cell",0.0103924614106808,"MMP7;FABP4;LUM;MMP2;MRC1;KDR;CD200;DCN"
"Idiopathic Membranous Glomerulonephritis",0.0105865463576456,"FCGR3A;SPP1;IGHA1"
"Malignant neoplasm of prostate",0.0106315335535841,"TNC;KLK5;F13A1;DPT;LPL;DEFB1;PTN;NID1;ETS1;SLCO2B1;EPB41L3;MRC1;KDR;SPP1;MMP7;ZBTB16;MMP2;ADIPOQ;CYP7B1;LYVE1;FLI1;DCN;DKK3;SFRP1;ZEB2;SFRP2;FABP4;CDH11;TLR4"
"Lupus Erythematosus, Discoid",0.0107404256654999,"CD163;FCGR3A;CAVIN2;SPP1;ETS1;TLR4;FLI1"
"Diabetes Mellitus, Insulin-Dependent",0.0109195462447925,"IL33;ADIPOQ;DPT;LPL;DEFB1;CSN2;DCN;FCGR3A;COL1A2;RGS1;DPYD;SPP1;TLR4"
"Thyroid carcinoma",0.0109195462447925,"CDH5;POSTN;MMP7;FABP4;SLCO2B1;MMP2;TNC;KDR;SPP1;ETS1;DKK3"
"Actinic keratosis",0.0109195462447925,"MMP2;TNC;SPP1;CD200"
"Malignant Glioma",0.0109195462447925,"SFRP2;MMP2;CDH11;TNC;KDR;SPP1;ACKR1;DCN;DKK3"
"Malignant neoplasm of thyroid",0.0110257348661274,"CDH5;POSTN;MMP7;FABP4;SLCO2B1;MMP2;TNC;KDR;DKK3"
"Endometrial Carcinoma",0.0111645705040109,"CD163;MMP7;MMP2;ADIPOQ;MRC1;KDR;SPP1;NID1;ETS1;DCN;DKK3;MT1E"
"Aneurysm",0.01131569927141,"CDH5;COL1A2;MMP2;TLR4;DCN"
"Secondary malignant neoplasm of liver",0.0113493014363232,"ZEB2;MMP7;MMP2;DPYD;TNC;KDR;SPP1;S1PR1;HBB"
"Renal Cell Carcinoma",0.0114870615409584,"MMP7;MMP2;ADIPOQ;TNC;KLK5;DEFB1;DCN;DKK3;SFRP1;FCGR3A;ZEB2;SFRP2;MRC1;CDH11;KDR;MT1E"
"cervical cancer",0.0114870615409584,"MMP7;MMP2;PTN;ETS1;DKK3;SFRP1;ZEB2;SFRP2;MRC1;KRT14;SPP1;SCGB2A2;TLR4"
"Malaria, Falciparum",0.0115402579390857,"FCGR3A;HBB;ACKR1;TLR4"
"Precursor Cell Lymphoblastic Leukemia Lymphoma",0.0116571876547099,"ZEB2;GYPC;ZBTB16;MMP2;CDH11;DPYD;SPP1;F13A1;RCSD1;MPEG1"
"Hypercholesterolemia, Familial",0.0117035172753673,"MMP2;ADIPOQ;F13A1;LPL;TLR4"
"Periodontitis, Juvenile",0.0118264830262674,"FCGR3A;POSTN;MMP2;TLR4"
"Friend leukemia",0.0118264830262674,"ETS1;FLI1"
"Chronic skin ulcer",0.0118264830262674,"MMP2;DCN"
"Gastrointestinal mucositis",0.0122274109079637,"IL33;DPYD;KDR"
"Glioblastoma Multiforme",0.0122523623500511,"CDH5;POSTN;SFRP1;ZEB2;GYPC;MMP2;MRC1;TNC;KDR;SPP1;SCGB3A1;DKK3"
"Metastatic melanoma",0.0125847828506326,"CD163;LUM;ZBTB16;MMP2;KDR;SPP1;ETS1;CD200"
"Multiple Sclerosis",0.0127552586833009,"MMP7;MMP2;CSN3;CYP7B1;ETS1;DCN;FCGR3A;RGS1;SPP1;S1PR1;ACKR1;IGHA1;TLR4;CD200"
"Aortic aneurysm without mention of rupture NOS",0.0129138381918061,"MMP2;TNC;SPP1"
"Conventional (Clear Cell) Renal Cell Carcinoma",0.0130947121311535,"GREM1;SFRP1;SFRP2;MMP2;ADIPOQ;EPB41L3;KDR;SPP1;DEFB1;DKK3"
"Malignant neoplasm of kidney",0.013163829265975,"SFRP1;ZEB2;SFRP2;MMP2;KDR;SPP1;DEFB1;DKK3"
"Overweight",0.0132235677247238,"CD163;MMP2;ADIPOQ;SPP1;LPL;TLR4"
"Proliferative retinopathy",0.0136178329970779,"ADH1B;LPL;ETS1"
"FUNDUS DYSTROPHY, PSEUDOINFLAMMATORY, OF SORSBY",0.013644752347362,"MMP2;KDR"
"Pigmentation Disorders",0.013644752347362,"KRT14;KRT5"
"Pigmented villonodular synovitis",0.013644752347362,"CD163;SPP1"
"Rheumatism",0.013644752347362,"IL33;FCGR3A;SFRP1;TNC"
"Polyneuropathy",0.013644752347362,"FCGR3A;ADH1B;MMP2;SPP1"
"Chondrosarcoma",0.0136763752000039,"MMP7;MMP2;ADIPOQ;TNC;SPP1;DCN"
"Sepsis",0.0136763752000039,"IL33;SFRP1;CD163;FCGR3A;MMP2;SPP1;HBB;DEFB1;TLR4"
"Endometriosis of uterus",0.0140707027363149,"MMP7;MMP2;TLR4"
"Neuromyelitis Optica",0.0140707027363149,"FCGR3A;CD163;SPP1"
"Virus Diseases",0.0141120639732041,"IL33;FCGR3A;FYB1;ADH1B;LUM;ZBTB16;MRC1;SPP1;ACKR1;TLR4;CD200;DKK3"
"Bone Diseases",0.0145382898451358,"SFRP2;MMP7;MMP2;SPP1;CD200"
"Anaplastic astrocytoma",0.0148759021583673,"CD163;MMP2;TNC;SPP1;ETS1"
"Diabetic Retinopathy",0.0151513565178455,"MMP2;ADIPOQ;TNC;KDR;NID1;TLR4"
"Malignant tumor of cervix",0.0151605729543799,"SFRP1;ZEB2;SFRP2;MMP7;MMP2;MRC1;KRT14;SPP1;SCGB2A2;PTN;TLR4;DKK3"
"IIeocolitis",0.0155469435058634,"ADIPOQ;DEFB1;TLR4"
"Obstructive nephropathy",0.0155469435058634,"SFRP1;TYROBP;SPP1"
"Aortic Aneurysm, Ruptured",0.0155469435058634,"RGS1;MMP2"
"Aseptic Necrosis of Bone",0.0155469435058634,"MMP2;HBB"
"Oral Cavity Carcinoma",0.0156565249985473,"SFRP2;MMP7;ADH1B;MMP2"
"Metastatic Neoplasm",0.0157989140059697,"ZEB2;MMP7;MMP2;EPB41L3;SPP1;PTN;ETS1;CHRDL1;CD200"
"Hemangioma",0.0161238907613224,"MMP2;KDR;LYVE1;DKK3"
"Squamous cell carcinoma of esophagus",0.0168401958178229,"MMP7;ADH1B;MMP2;TNC;ETS1;DKK3;SFRP1;ZEB2;SFRP2;MRC1;KRT14;SPP1;TLR4"
"Recurrent tumor",0.0173339932717926,"MMP7;MMP2;MRC1;DPYD;KDR;SPP1;KRT5"
"Leukemia, Myelocytic, Acute",0.0175710184235679,"TLE4;CD163;CD93;ZBTB16;MMP2;ADIPOQ;CSN2;ETS1;FLI1;SFRP1;FCGR3A;ZEB2;SFRP2;FABP4;KDR;SPP1;TLR4;CD200"
"Acute pancreatitis",0.0176988981187705,"IL33;FCGR3A;ADH1B;TLR4"
"Neoplasms, Vascular Tissue",0.0177355429076042,"KDR;PTN"
"Tendinosis",0.0177355429076042,"MMP2;DCN"
"Primary malignant neoplasm",0.0178141560140631,"MMP2;TNC;KRT5;PTN;ETS1;FLI1;GREM1;FCGR3A;ZEB2;SFRP2;MRC1;KRT14;SPP1"
"Adenoma of large intestine",0.0178307474707173,"GREM1;IL33;SFRP2;MMP7;LUM;ETS1"
"Carotid Atherosclerosis",0.0180118478607692,"CD163;MMP7;FABP4;TLR4"
"Malignant neoplasm of esophagus",0.0186055370137398,"MMP7;ADH1B;MMP2;MRC1;DPYD;KDR;SPP1;SCGB3A1;ETS1;TLR4"
"Giant Cell Tumors",0.0186819510024953,"MMP2;CDH11;TNC"
"Cervical Squamous Intraepithelial Neoplasia",0.0186819510024953,"MMP2;KRT14;TLR4"
"Neutropenia",0.0186819510024953,"FCGR3A;MMP2;DPYD;ACKR1;TLR4"
"Adult Lymphoma",0.0196584033106637,"IL33;CD163;RHOJ"
"Gastritis",0.0199556664894932,"FCGR3A;MMP2;SPP1;DEFB1;TLR4"
"Carcinoma of lung",0.0204427000983136,"SEMA5A;IL33;POSTN;MMP7;LUM;ZBTB16;MMP2;ADIPOQ;TNC;F13A1;G0S2;KRT5;PTN;ETS1;SFRP1;ZEB2;EPB41L3;MRC1;KDR;SPP1;SCGB3A1;MMP19;TLR4"
"Liver carcinoma",0.0205068932277744,"TINAGL1;ADH1B;DPT;LPL;HBB;CSN3;CSN2;PTN;ETS1;CNN1;MRC1;KDR;SPP1;S1PR1;IL33;MMP7;CAVIN2;MMP2;ADIPOQ;KRT5;LYVE1;DCN;DKK3;SFRP1;ZEB2;SFRP2;COL1A2;DPYD;TLR4;MT1E"
"Idiopathic crescentic glomerulonephritis",0.0205068932277744,"FCGR3A;SPP1;DCN"
"Abortion, Tubal",0.0205128122861167,"CD163;COL1A2;MMP7;MMP19"
"Luminal A Breast Carcinoma",0.0205128122861167,"MMP7;FABP4;LUM;KRT5"
"Neoplasm Invasiveness",0.0205128122861167,"ZEB2;ZBTB16;MMP2;ETS1;TLR4"
"Diffuse Large B-Cell Lymphoma",0.0210124367037757,"FCGR3A;RGS1;CDH11;KDR;SPP1;IGHA1;ETS1;TLR4;FLI1"
"Experimental Lung Inflammation",0.0210124367037757,"IL33;SPP1;TLR4"
"Thrombocytopenia due to platelet alloimmunization",0.0210124367037757,"IL33;FCGR3A;TLR4"
"Tumor-Associated Vasculature",0.0210124367037757,"TNC;KDR;FLI1"
"Childhood Lymphoma",0.0210124367037757,"IL33;CD163;RHOJ"
"Nodular glomerulosclerosis",0.0210124367037757,"FABP4;ADIPOQ;KDR"
"Adrenocortical carcinoma",0.0210124367037757,"ZEB2;SPP1;LPL;KRT5;PTN"
"Malaria",0.0213822351961655,"CD163;FCGR3A;FYB1;GYPC;ADH1B;HBB;ACKR1;TLR4"
"Symmetric Diabetic Proximal Motor Neuropathy",0.0213822351961655,"MMP2;TLR4"
"Septicaemia due to gram-negative organism, unspecified",0.0213822351961655,"FCGR3A;TLR4"
"Jacobsen Distal 11q Deletion Syndrome",0.0213822351961655,"ETS1;FLI1"
"Asymmetric Diabetic Proximal Motor Neuropathy",0.0213822351961655,"MMP2;TLR4"
"Diabetic Amyotrophy",0.0213822351961655,"MMP2;TLR4"
"Diabetic Asymmetric Polyneuropathy",0.0213822351961655,"MMP2;TLR4"
"Diabetic Autonomic Neuropathy",0.0213822351961655,"MMP2;TLR4"
"Diabetic Mononeuropathy",0.0213822351961655,"MMP2;TLR4"
"Obesity, Morbid",0.0213822351961655,"SFRP1;ADIPOQ;SPP1;LPL"
"Bronchopulmonary Dysplasia",0.0217473673598724,"POSTN;MMP2;TNC;KDR;TLR4"
"Dermatomyositis",0.0219374458971594,"MMP7;MMP2;SPP1;TLR4"
"Rectal Carcinoma",0.0223958999307872,"MMP7;MMP2;MRC1;DPYD;KDR;TLR4"
"Thyroid Neoplasm",0.0225903591908243,"POSTN;MMP2;KDR;SPP1;HBB;ETS1;FLI1;DCN"
"Severe chronic obstructive pulmonary disease",0.0238413135844983,"IL33;MRC1"
"Basaloid squamous cell carcinoma",0.0238413135844983,"SFRP1;SFRP2"
"Experimental Organism Basal Cell Carcinoma",0.0246009003372295,"GREM1;COL1A2;MRC1;DEFB1;KRT5;DCN"
"Disseminated Malignant Neoplasm",0.0249057852473611,"CDH5;MMP2;TNC;SPP1;SCGB2A2"
"Giant Cell Arteritis",0.0250652584950473,"IL33;FCGR3A;MMP2;TLR4"
"Lupus Vulgaris",0.0252390036031843,"FCGR3A;CAVIN2;SPP1;ETS1;TLR4;FLI1"
"Carcinoma, Lobular",0.0252937978406227,"SFRP1;MMP2;KRT5"
"Hepatosplenomegaly",0.0252937978406227,"MMP2;RHOJ;LPL"
"Tuberculosis",0.0259998124475615,"SFRP1;FCGR3A;MMP7;MMP2;MRC1;TNC;SPP1;TLR4;MT1E"
"Ridged nails",0.0259998124475615,"KRT14;KRT5"
"Macroangiopathy",0.0259998124475615,"ADIPOQ;LPL"
"Onychogryposis",0.0259998124475615,"KRT14;KRT5"
"Complement deficiency disease",0.0259998124475615,"C7;TLR4"
"Diabetes Mellitus",0.0259998124475615,"CD163;ADH1B;MMP2;ADIPOQ;DPT;LPL;DEFB1;CSN2;ETS1;DCN;GREM1;FABP4;KDR;SPP1;TLR4;MT1E"
"Urinary Incontinence",0.0259998124475615,"TYROBP;CYP7B1;DCN"
"Infection",0.0262409590441423,"IL33;FCGR3A;MMP2;ADIPOQ;SPP1;LPL;DEFB1;TLR4"
"Acute leukemia",0.0262409590441423,"CDH5;ZBTB16;MMP2;CSN2;ETS1;TLR4;FLI1;CD200"
"Colitis",0.0273285762838503,"IL33;SFRP1;SFRP2;MMP7;ADIPOQ;KDR;SPP1;DEFB1;TLR4"
"Pneumonia",0.0277318008401614,"IL33;FCGR3A;MRC1;SPP1;S1PR1;ACKR1;TLR4;MT1E"
"Left Ventricular Hypertrophy",0.0281879858190831,"COL1A2;TNC;SPP1;LPL;TLR4"
"Diabetic Neuralgia",0.0284226077976268,"MMP2;TLR4"
"Pulpitis",0.0284226077976268,"DEFB1;TLR4"
"Renal carcinoma",0.0284226077976268,"SFRP1;ZEB2;SFRP2;MMP2;CDH11;KDR;DEFB1;DKK3"
"Osteomyelitis",0.0290576210697155,"HBB;ETS1;TLR4"
"Phyllodes Tumor",0.0290576210697155,"ZEB2;MMP2;DCN"
"Renal glomerular disease",0.0295980172752574,"TNC;SPP1;HBB;DCN"
"Childhood asthma",0.0295980172752574,"TLE4;ADAM33;DEFB1;TLR4"
"Chronic Lymphocytic Leukemia",0.0295980172752574,"LPL;ETS1;DKK3;SFRP1;FCGR3A;SFRP2;IGLV3-21;MRC1;KDR;S1PR1;TLR4;CD200;IGKV3-20"
"Lichen Planus, Oral",0.0298826923826133,"MMP7;SPP1;TLR4"
"Lymphangioleiomyomatosis",0.0298826923826133,"MMP7;MMP2;SPP1"
"Neutrophilia (disorder)",0.0298826923826133,"TYROBP;SPP1;TLR4"
"Peritonitis",0.0300192813914703,"IL33;CD163;MRC1;TLR4"
"Research-Related Injuries",0.0300192813914703,"LUM;SPP1"
"Generalized hyperkeratosis",0.0300192813914703,"KRT14;KRT5"
"stage, cervical cancer",0.0300192813914703,"MRC1;PTN"
"THROMBOCYTOPENIA 1 (disorder)",0.0300192813914703,"FCGR3A;FLI1"
"Traumatic injury",0.0300192813914703,"LUM;SPP1"
"Injury wounds",0.0300192813914703,"LUM;SPP1"
"Wounds and Injuries",0.0300192813914703,"LUM;SPP1"
"Milium Cyst",0.0300192813914703,"KRT14;KRT5"
"Nasal Type Extranodal NK/T-Cell Lymphoma",0.0300192813914703,"FCGR3A;RHOJ"
"Cleft palate, isolated",0.0300490446490446,"MRC1;SPP1;F13A1;ETS1"
"Lupus Nephritis",0.0304928145285285,"FCGR3A;TYROBP;MMP2;TLR4;FLI1"
"Systemic Inflammatory Response Syndrome",0.0313923396028439,"IL33;SPP1;TLR4"
"Lupus Erythematosus",0.0313923396028439,"FCGR3A;CAVIN2;SPP1;ETS1;TLR4;FLI1"
"Pseudohyperkalemia Cardiff",0.0313923396028439,"KDR;HBB;LALBA;TLR4"
"Myeloid Leukemia, Chronic",0.0319895678655074,"SFRP1;CD163;FCGR3A;ZBTB16;MMP2;ADIPOQ;MRC1;KDR;SPP1;ETS1;CD200"
"Malignant neoplasm of large intestine",0.0319895678655074,"GREM1;IL33;MMP2;ADIPOQ;MRC1;DPYD;TNC;SPP1"
