"Disease","Adjusted_P_Value","Associated_Genes"
"Psoriasis",1.31280106565516e-05,"IL33;CD163;MMP2;KLK5;ADAM33;F13A1;DEFB1;KRT5;ETS1;LYVE1;FCGR3A;MRC1;KRT14;KDR;SPP1;MMP19;ACKR1;TLR4"
"Atherosclerosis",1.73176264287252e-05,"IL33;POSTN;CD163;MMP7;MMP2;ADIPOQ;TNC;ADAM33;F13A1;LPL;PTN;ETS1;DCN;GREM1;FCGR3A;FABP4;RGS1;KDR;SPP1;S1PR1;TLR4"
"Squamous cell carcinoma of the head and neck",1.73176264287252e-05,"IRX1;CD163;ADH1B;MMP2;TNC;KRT5;ETS1;LYVE1;MPEG1;DKK3;SFRP1;FCGR3A;ZEB2;SLCO2B1;MRC1;KDR;SPP1;TLR4;CD200"
"Endometriosis",1.77197116862582e-05,"IL33;MMP7;MMP2;ADIPOQ;TNC;PTN;ETS1;DCN;GREM1;SFRP1;MRC1;RHOJ;KDR;SPP1;S1PR1;SCGB3A1;TLR4"
"Pancreatic Neoplasm",1.88158168738313e-05,"SEMA5A;POSTN;MMP7;LUM;MMP2;PTN;ETS1;LYVE1;DCN;DKK3;SFRP1;SFRP2;MRC1;DPYD;KDR;SPP1"
"Liver Cirrhosis",2.59886835793359e-05,"C1QB;MMP7;ADH1B;LUM;CAVIN2;MMP2;ADIPOQ;CSN3;PTN;CYP7B1;LYVE1;DKK3;COL1A2;KDR;SPP1;TLR4"
"Meningioma",2.63631547192107e-05,"CD163;MMP2;ADIPOQ;TNC;F13A1;DEFB1;PTN;ETS1;SFRP1;FCGR3A;EPB41L3;SPP1;TLR4"
"Colorectal Neoplasms",2.63631547192107e-05,"POSTN;MMP7;ADH1B;LUM;MMP2;ADIPOQ;TNC;ETS1;DKK3;GREM1;CDH5;SFRP1;ARMCX1;FCGR3A;SFRP2;COL1A2;MRC1;DPYD;KDR;TLR4"
"Undifferentiated carcinoma",2.66009451813331e-05,"TLE4;FABP4;S1PR1;LPL;G0S2;CSN3;CSN2;KRT5;PTN;TLR4"
"Degenerative polyarthritis",2.66009451813331e-05,"IRX1;IL33;MMP7;MMP2;ADIPOQ;TNC;KRT5;PTN;DKK3;GREM1;SFRP1;TYROBP;COL1A2;LBH;MRC1;CDH11;KDR;SPP1;TLR4"
"Precancerous Conditions",2.7614539481392e-05,"CD163;MMP7;MMP2;KRT5;ETS1;DCN;SFRP1;SFRP2;MRC1;KRT14;SPP1;SCGB3A1;TLR4"
"Malignant neoplasm of stomach",2.7614539481392e-05,"SEMA5A;ADH1B;HBB;DEFB1;PTN;NID1;ETS1;CHRDL1;EPB41L3;MRC1;KDR;SPP1;IRX1;IL33;POSTN;CD163;MMP7;MMP2;ADIPOQ;ADAM33;MPEG1;FLI1;DKK3;GREM1;SFRP1;ZEB2;SFRP2;COL1A2;DPYD;SCGB3A1;TLR4"
"Carotid Stenosis",2.7614539481392e-05,"FABP4;MMP2;SPP1;LPL;ETS1;TLR4"
"Cardiomyopathy, Familial Idiopathic",4.08846002581341e-05,"CDH5;CNN1;SFRP1;LUM;MMP2;ADIPOQ;RHOJ;KRT14;KDR;SPP1;ADAM33;TLR4"
"Coronary heart disease",4.108733762794e-05,"IL33;MMP7;CD93;ADH1B;MMP2;ADIPOQ;TNC;ADAM33;F13A1;LPL;ETS1;CHRDL1;GREM1;FCGR3A;FABP4;KDR;SPP1;TLR4"
"melanoma",4.21401403920376e-05,"C1QB;TINAGL1;TNC;LPL;PTN;NID1;ETS1;CDH5;CNN1;FCGR3A;RGS1;MRC1;KDR;SPP1;POSTN;CD163;MMP7;LUM;ZBTB16;MMP2;LYVE1;MPEG1;FLI1;DCN;DKK3;SFRP1;ZEB2;SFRP2;CDH11;TLR4;CD200"
"Diabetic Nephropathy",5.32994195801322e-05,"MMP7;ADH1B;MMP2;ADIPOQ;LPL;ETS1;DCN;GREM1;ZEB2;COL1A2;FABP4;KDR;SPP1;TLR4"
"Malignant neoplasm of urinary bladder",5.42899544363184e-05,"POSTN;CD163;MMP7;ADH1B;MMP2;KRT5;PODN;ETS1;DCN;DKK3;SFRP1;ZEB2;COL1A2;FABP4;MRC1;KRT14;KDR;TLR4;CD200;MT1E"
"Nonalcoholic Steatohepatitis",6.92461274133819e-05,"IL33;LUM;ADIPOQ;TNC;KDR;SPP1;CYP7B1;TLR4;DCN"
"Glomerulonephritis",7.03348283325532e-05,"CNN1;CD163;FCGR3A;MMP2;SPP1;IGHA1;TLR4;FLI1;DCN"
"Squamous cell carcinoma",7.31538445949443e-05,"ADH1B;TNC;KLK5;DEFB1;ETS1;FCGR3A;MRC1;KDR;SPP1;IRX1;IL33;MMP7;LUM;MMP2;KRT5;DCN;DKK3;GREM1;SFRP1;ZEB2;SFRP2;DPYD;KRT14;SCGB3A1;MMP19;TLR4"
"Inflammation",9.5953817793551e-05,"IL33;CD163;FCGR3A;TYROBP;MMP2;ADIPOQ;SPP1;PTN;ACKR1;CYP7B1;TLR4;CD200"
"Pulmonary Fibrosis",0.000100273514968508,"GREM1;COL1A2;MMP7;LUM;MMP2;ADIPOQ;MRC1;CDH11;TNC;SPP1;MMP19;DCN"
"Asthma",0.000100273514968508,"TLE4;IL33;POSTN;MMP7;ZBTB16;MMP2;TNC;ADAM33;F13A1;DEFB1;ETS1;DCN;FCGR3A;FABP4;KDR;SPP1;S1PR1;MMP19;ACKR1;TLR4;CD200"
"Aortic Aneurysm, Abdominal",0.000104702471832749,"POSTN;FCGR3A;TYROBP;COL1A2;IGKC;MMP2;ADIPOQ;SPP1;TLR4;DCN"
"Lupus Erythematosus, Systemic",0.000127043868767728,"C1QB;GABRP;CD163;MMP7;LUM;CAVIN2;ETS1;FLI1;DKK3;FCGR3A;TYROBP;LBH;MRC1;KDR;SPP1;S1PR1;TLR4;IGKV3-20;C1QC"
"Keloid",0.000128026343305765,"SFRP1;SFRP2;COL1A2;ADAM33;DPT;MMP19;DCN;DKK3"
"Hamman-Rich syndrome",0.000139385636940224,"GREM1;IL33;MMP7;MMP2;ADIPOQ;CDH11;TNC;SPP1;DCN"
"Tumor Progression",0.000140764043707946,"TNC;PTN;ETS1;FCGR3A;RGS1;MRC1;KDR;SPP1;IL33;CD163;MMP7;MMP2;ADIPOQ;FLI1;DCN;DKK3;GREM1;MFAP5;SFRP1;ZEB2;SFRP2;CDH11;DPYD;SCGB2A2;MMP19;TLR4;CD200"
"IGA Glomerulonephritis",0.000154079949480482,"C1QB;MS4A6A;CD163;FCGR3A;SPP1;IGHA1;TLR4;DCN;JCHAIN"
"Arthropathy",0.000156209891155024,"MMP2;ADIPOQ;KDR;SPP1;KRT5;TLR4;DCN"
"Non-Small Cell Lung Carcinoma",0.000156209891155024,"SEMA5A;TINAGL1;TNC;LPL;PTN;ETS1;FCGR3A;IGKC;EPB41L3;MRC1;KDR;SPP1;MMP7;ZBTB16;MMP2;ADIPOQ;G0S2;KRT5;DCN;DKK3;SFRP1;ZEB2;SFRP2;DPYD;SCGB3A1;MMP19;TLR4;MT1E"
"Stomach Carcinoma",0.000156209891155024,"SEMA5A;ADH1B;HBB;DEFB1;PTN;ETS1;CHRDL1;EPB41L3;MRC1;KDR;SPP1;IRX1;IL33;POSTN;CD163;MMP7;MMP2;ADIPOQ;ADAM33;MPEG1;FLI1;DKK3;SFRP1;ZEB2;SFRP2;COL1A2;DPYD;SCGB3A1;TLR4"
"Fibrosis, Liver",0.000156209891155024,"C1QB;IL33;MMP7;LUM;MMP2;TNC;HBB;DCN;ZEB2;COL1A2;KDR;SPP1;TLR4"
"Nodule",0.000156209891155024,"SFRP1;MMP2;CDH11;TNC;SPP1;DPT;TLR4"
"Kidney Diseases",0.000164528294056462,"IL33;MMP7;MMP2;ADIPOQ;LPL;FLI1;DCN;DKK3;SFRP1;FCGR3A;TYROBP;KDR;SPP1;TLR4"
"Carcinoma, Neuroendocrine",0.00017082130435955,"MMP7;LUM;KDR;SPP1;DPT;ETS1"
"Ulcer",0.000175879589446661,"IL33;FCGR3A;MMP7;FABP4;MMP2;KDR;TLR4;FLI1"
"Astrocytoma",0.000175879589446661,"SEMA5A;MMP7;CD93;ADH1B;MMP2;TNC;PTN;ETS1;FLI1;DKK3;SFRP1;MRC1;KDR;SPP1;MMP19"
"Solid Neoplasm",0.000175879589446661,"POSTN;MMP7;MMP2;LPL;ETS1;FLI1;DKK3;SFRP1;SFRP2;IGKC;MRC1;KDR;SPP1;S1PR1;CD200;MT1E"
"Autoimmune Diseases",0.000200790021012012,"IL33;ZBTB16;DPT;LPL;DEFB1;ETS1;FLI1;DKK3;FCGR3A;TYROBP;MRC1;KRT14;KDR;SPP1;S1PR1;ACKR1;TLR4;CD200"
"Vascular Diseases",0.00022294533657375,"IL33;FABP4;RGS1;ADIPOQ;TNC;KDR;SPP1;S1PR1;LPL;TLR4;FLI1"
"Myocardial Infarction",0.000232362032400095,"POSTN;CD163;CD93;ADH1B;MMP2;ADIPOQ;TNC;F13A1;LPL;PTN;DCN;FCGR3A;SFRP2;FABP4;C7;SPP1;TLR4"
"Lymphoma",0.000251477181859524,"IL33;CD163;MMP7;HBB;PTN;ETS1;FLI1;GREM1;FCGR3A;RGS1;MRC1;RHOJ;DPYD;KDR;IGKV3-15;SPP1;SCGB3A1;MMP19;TLR4;IGKV3-20"
"Prostatic Neoplasms",0.000272284713234609,"MMP7;ZBTB16;MMP2;ADIPOQ;KLK5;DPT;LPL;DEFB1;PTN;CYP7B1;ETS1;DCN;DKK3;EPB41L3;MRC1;CDH11;DPYD;KRT14;KDR;SPP1;SCGB3A1;TLR4"
"Glioblastoma",0.000280994895892039,"TNC;PTN;ETS1;CDH5;FCGR3A;MRC1;KDR;SPP1;S1PR1;CD93;ZBTB16;MMP2;ADIPOQ;MPEG1;DCN;DKK3;SFRP1;ZEB2;TYROBP;SFRP2;CDH11;SCGB3A1;MMP19;TLR4;MT1E"
"Epithelial ovarian cancer",0.000308279572595592,"IL33;CD163;MMP7;GYPC;MMP2;TNC;KLK5;KRT5;PTN;ETS1;DKK3;CDH5;FCGR3A;ZEB2;MRC1;DPYD;KDR;SPP1;SCGB2A2;TLR4"
